precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,distrito,nivel_socioeconomico,URL,direccion_completa,latitud,longitud,num_colegios_aprox,num_hospitales_aprox,num_tren_est_aprox,num_metro_est_aprox,num_comisarias_aprox,num_delitos_aprox,set,total_ambientes,total_servicios_prox,total_transporte_aprox,flg_estac,flg_tren,flg_metro,precio_por_m2,costo_total_mensual,score_ubicacion,categoria_precio,zona_apeim,zona_apeim_cod,tamano,tamano_cod,nivel_socioeconomico_cod,categoria_crimenes,categoria_crimenes_cod,tipo_vivienda_cod,tipo_vivienda
5712.0,1700.0,1000.0,120.0,2.0,2.0,0.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-con-terraza-y-preciosa-vista-al-mar-amoblado-y-147985913.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=4,"malecon miraflores lima, miraflores",-12.1245227,-77.0383825,4,1,0,0,0,9,train,4.0,5,0,0,0,0,47.6,6712.0,3.0,Medio,zona 7,7,grande,3.0,1.0,nivel_1,1,0,Medio
5760.0,1600.0,370.0,110.0,3.0,2.0,1.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-amoblado-de-110-m-sup2--3-dorm-147803805.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=24,"av jose pardo, miraflores",-12.1191345,-77.036787,9,1,0,0,0,18,train,5.0,10,0,1,0,0,52.36363636363637,6130.0,6.0,Medio,zona 7,7,grande,3.0,1.0,nivel_4,4,2,Económico
2700.0,,,40.0,1.0,1.0,0.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-de-estreno-miraflores-149507429.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=17,"casimiro ulloa al 300, miraflores",-12.124002,-77.0216877,4,0,0,1,0,14,train,2.0,5,1,0,0,1,67.5,,3.4,Muy Bajo,zona 7,7,pequeno,1.0,1.0,nivel_4,4,1,Premium
6200.0,415000.0,700.0,124.0,2.0,2.0,1.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-vendo-alquilo-moderno-departamento-de-125-m-sup2--en-90144797.html?n_src=Listado&n_pills=Amoblado&n_pg=1&n_pos=25,"parque armendariz, miraflores",-12.1348923,-77.0239057,10,1,0,0,0,11,train,4.0,11,0,1,0,0,50.0,6900.0,6.6,Medio,zona 7,7,grande,3.0,1.0,nivel_3,3,0,Medio
6900.0,2000.0,800.0,130.0,2.0,2.0,2.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-flat-en-ava159-miraflores-2-dorm.-149363500.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=27,"av parque armendariz 159 - dpto 304, miraflores",-12.134851,-77.0247132,6,1,0,0,0,6,train,4.0,7,0,1,0,0,53.07692307692308,7700.0,4.2,Medio,zona 7,7,grande,3.0,1.0,nivel_1,1,0,Medio
10000.0,3000.0,220.0,285.0,3.0,2.0,2.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-depa-diego-ferre-208-1er-piso-jardin-sin-149507569.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=16,"diego ferre 208 1er piso miraflores - alq, miraflores",-12.1293842,-77.0331434,0,1,0,0,0,8,train,5.0,1,0,1,0,0,35.08771929824562,10220.0,0.6,Muy Alto,zona 7,7,grande,3.0,1.0,nivel_1,1,0,Medio
10150.0,3000.0,1000.0,130.0,2.0,2.0,1.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-duplex-de-lujo-con-vista-al-malecon-miraflores-130-149513285.html?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=12,"armendariz 159, miraflores",-12.1347557,-77.02438959999999,9,1,0,0,0,8,train,4.0,10,0,1,0,0,78.07692307692308,11150.0,6.0,Muy Alto,zona 7,7,grande,3.0,1.0,nivel_1,1,0,Medio
11760.0,,750.0,250.0,3.0,4.0,2.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-con-amplia-terraza-y-bellisima-vista-al-mar!-c.-g-147778523.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=6,"malecon miraflores lima, miraflores",-12.1245227,-77.0383825,4,1,0,0,0,9,train,7.0,5,0,1,0,0,47.04,12510.0,3.0,Muy Alto,zona 7,7,grande,3.0,1.0,nivel_1,1,0,Medio
3709.0,1100.0,350.0,107.0,2.0,3.0,1.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-duplex-de-2-dormitortios-de-area-107-149509870.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=13,"avenida jose larco 1010, miraflores",-12.1278301,-77.0297672,1,0,0,0,0,13,train,5.0,1,0,1,0,0,34.66355140186916,4059.0,0.6,Bajo,zona 7,7,grande,3.0,1.0,nivel_4,4,0,Medio
4500.0,1335.0,500.0,74.0,2.0,2.0,1.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de-esstreno-en-alquiler-en-miraflores-149496439.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=30,"calle arica, miraflores",-12.1139529,-77.0357653,9,3,0,0,0,13,eval,4.0,12,0,1,0,0,60.810810810810814,5000.0,7.199999999999999,Bajo,zona 7,7,mediano,2.0,1.0,nivel_4,4,2,Económico
4400.0,1300.0,370.0,84.0,3.0,1.0,1.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de3-habitaciones-con-estacionamiento-149506653.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=20,"av grau 490, miraflores",-12.1230149,-77.0349636,6,2,0,0,0,24,test,4.0,8,0,1,0,0,52.38095238095238,4770.0,4.8,Bajo,zona 7,7,mediano,2.0,1.0,nivel_4,4,2,Económico
3600.0,1050.0,350.0,93.0,1.0,1.0,1.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-de-1-dormitorio-cerca-a-larcomar-149248767.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=23,"dalias 275, miraflores",-12.1308415,-77.0288812,1,1,0,0,0,6,test,2.0,2,0,1,0,0,38.70967741935484,3950.0,1.2,Bajo,zona 7,7,mediano,2.0,1.0,nivel_1,1,2,Económico
3048.0,824.0,432.0,68.0,2.0,1.0,1.0,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-exclusivos-departamentos-desde-los-56-m-sup2--146042237.html?n_src=Listado&n_pills=Amoblado&n_pg=1&n_pos=22,"av ricardo palma, miraflores",-12.1225062,-77.0208304,3,1,0,1,1,24,test,3.0,6,1,1,0,1,44.8235294117647,3480.0,4.0,Muy Bajo,zona 7,7,mediano,2.0,1.0,nivel_4,4,2,Económico
